date,type,net_dollars
2023-01-12,CPI,-4.0
2023-02-03,NFP,839.75
2023-02-14,CPI,902.25
2023-03-10,NFP,-472.75
2023-03-14,CPI,371.0
2023-06-02,NFP,-35.25
2023-07-12,CPI,-35.25
2023-09-13,CPI,-410.25
2023-10-06,NFP,-4.0
2023-11-14,CPI,808.5
2024-02-02,NFP,652.25
2024-02-13,CPI,-129.0
2024-03-12,CPI,496.0
2024-04-05,NFP,-222.75
2024-04-10,CPI,-285.25
2024-06-12,CPI,27.25
2024-07-11,CPI,-4.0
2024-09-11,CPI,-35.25
2024-10-04,NFP,214.75
2024-10-10,CPI,402.25
2024-11-01,NFP,-191.5
2025-01-10,NFP,-191.5
2025-01-15,CPI,558.5
2025-02-12,CPI,183.5
2025-03-12,CPI,-160.25
2025-05-13,CPI,89.75
2025-06-11,CPI,214.75
2025-07-15,CPI,-347.75
